area,sub_area,month_year,count,type_of_offence,count_category
Central,Whanganui,2009-01-01,65.0,Alcohol specific offences,Offences
Central,Whanganui,2009-02-01,53.0,Alcohol specific offences,Offences
Central,Whanganui,2009-03-01,78.0,Alcohol specific offences,Offences
Central,Whanganui,2009-04-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2009-05-01,70.0,Alcohol specific offences,Offences
Central,Whanganui,2009-06-01,75.0,Alcohol specific offences,Offences
Central,Whanganui,2009-07-01,58.0,Alcohol specific offences,Offences
Central,Whanganui,2009-08-01,69.0,Alcohol specific offences,Offences
Central,Whanganui,2009-09-01,83.0,Alcohol specific offences,Offences
Central,Whanganui,2009-10-01,45.0,Alcohol specific offences,Offences
Central,Whanganui,2009-11-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2009-12-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2010-01-01,38.0,Alcohol specific offences,Offences
Central,Whanganui,2010-02-01,44.0,Alcohol specific offences,Offences
Central,Whanganui,2010-03-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2010-04-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2010-05-01,57.0,Alcohol specific offences,Offences
Central,Whanganui,2010-06-01,64.0,Alcohol specific offences,Offences
Central,Whanganui,2010-07-01,59.0,Alcohol specific offences,Offences
Central,Whanganui,2010-08-01,59.0,Alcohol specific offences,Offences
Central,Whanganui,2010-09-01,43.0,Alcohol specific offences,Offences
Central,Whanganui,2010-10-01,73.0,Alcohol specific offences,Offences
Central,Whanganui,2010-11-01,54.0,Alcohol specific offences,Offences
Central,Whanganui,2010-12-01,68.0,Alcohol specific offences,Offences
Central,Whanganui,2011-01-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2011-02-01,54.0,Alcohol specific offences,Offences
Central,Whanganui,2011-03-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2011-04-01,64.0,Alcohol specific offences,Offences
Central,Whanganui,2011-05-01,62.0,Alcohol specific offences,Offences
Central,Whanganui,2011-06-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-07-01,53.0,Alcohol specific offences,Offences
Central,Whanganui,2011-08-01,58.0,Alcohol specific offences,Offences
Central,Whanganui,2011-09-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-10-01,66.0,Alcohol specific offences,Offences
Central,Whanganui,2011-11-01,47.0,Alcohol specific offences,Offences
Central,Whanganui,2011-12-01,60.0,Alcohol specific offences,Offences
Central,Whanganui,2012-01-01,33.0,Alcohol specific offences,Offences
Central,Whanganui,2012-02-01,61.0,Alcohol specific offences,Offences
Central,Whanganui,2012-03-01,31.0,Alcohol specific offences,Offences
Central,Whanganui,2012-04-01,45.0,Alcohol specific offences,Offences
Central,Whanganui,2012-05-01,39.0,Alcohol specific offences,Offences
Central,Whanganui,2012-06-01,50.0,Alcohol specific offences,Offences
Central,Whanganui,2012-07-01,62.0,Alcohol specific offences,Offences
Central,Whanganui,2012-08-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2012-09-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2012-10-01,31.0,Alcohol specific offences,Offences
Central,Whanganui,2012-11-01,61.0,Alcohol specific offences,Offences
Central,Whanganui,2012-12-01,68.0,Alcohol specific offences,Offences
Central,Whanganui,2013-01-01,43.0,Alcohol specific offences,Offences
Central,Whanganui,2013-02-01,30.0,Alcohol specific offences,Offences
Central,Whanganui,2013-03-01,40.0,Alcohol specific offences,Offences
Central,Whanganui,2013-04-01,24.0,Alcohol specific offences,Offences
Central,Whanganui,2013-05-01,33.0,Alcohol specific offences,Offences
Central,Whanganui,2013-06-01,64.0,Alcohol specific offences,Offences
Central,Whanganui,2013-07-01,41.0,Alcohol specific offences,Offences
Central,Whanganui,2013-08-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2013-09-01,44.0,Alcohol specific offences,Offences
Central,Whanganui,2013-10-01,44.0,Alcohol specific offences,Offences
Central,Whanganui,2013-11-01,47.0,Alcohol specific offences,Offences
Central,Whanganui,2013-12-01,43.0,Alcohol specific offences,Offences
Central,Whanganui,2014-01-01,28.0,Alcohol specific offences,Offences
Central,Whanganui,2014-02-01,23.0,Alcohol specific offences,Offences
Central,Whanganui,2014-03-01,35.0,Alcohol specific offences,Offences
Central,Whanganui,2014-04-01,22.0,Alcohol specific offences,Offences
Central,Whanganui,2014-05-01,36.0,Alcohol specific offences,Offences
Central,Whanganui,2014-06-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2014-07-01,46.0,Alcohol specific offences,Offences
Central,Whanganui,2014-08-01,42.0,Alcohol specific offences,Offences
Central,Whanganui,2014-09-01,30.0,Alcohol specific offences,Offences
Central,Whanganui,2014-10-01,26.0,Alcohol specific offences,Offences
Central,Whanganui,2014-11-01,38.0,Alcohol specific offences,Offences
Central,Whanganui,2014-12-01,35.0,Alcohol specific offences,Offences
Central,Whanganui,2015-01-01,49.0,Alcohol specific offences,Offences
Central,Whanganui,2015-02-01,34.0,Alcohol specific offences,Offences
Central,Whanganui,2015-03-01,33.0,Alcohol specific offences,Offences
Central,Whanganui,2015-04-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2015-05-01,65.0,Alcohol specific offences,Offences
Central,Whanganui,2015-06-01,67.0,Alcohol specific offences,Offences
Central,Whanganui,2015-07-01,52.0,Alcohol specific offences,Offences
Central,Whanganui,2015-08-01,49.0,Alcohol specific offences,Offences
Central,Whanganui,2015-09-01,47.0,Alcohol specific offences,Offences
Central,Whanganui,2015-10-01,55.0,Alcohol specific offences,Offences
Central,Whanganui,2015-11-01,48.0,Alcohol specific offences,Offences
Central,Whanganui,2015-12-01,60.0,Alcohol specific offences,Offences
Central,Whanganui,2016-01-01,51.0,Alcohol specific offences,Offences
Central,Whanganui,2016-02-01,38.0,Alcohol specific offences,Offences
Central,Whanganui,2016-03-01,53.0,Alcohol specific offences,Offences
Central,Whanganui,2016-04-01,67.0,Alcohol specific offences,Offences
Central,Whanganui,2016-05-01,54.0,Alcohol specific offences,Offences
Central,Whanganui,2016-06-01,65.0,Alcohol specific offences,Offences
Central,Whanganui,2016-07-01,65.0,Alcohol specific offences,Offences
Central,Whanganui,2016-08-01,49.0,Alcohol specific offences,Offences
Central,Whanganui,2016-09-01,59.0,Alcohol specific offences,Offences
Central,Whanganui,2009-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-02-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-06-01,1.0,Drug specific offences,Offences
Central,Whanganui,2009-07-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-10-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-11-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-12-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-02-01,1.0,Drug specific offences,Offences
Central,Whanganui,2010-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-06-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-07-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-08-01,2.0,Drug specific offences,Offences
Central,Whanganui,2010-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-10-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-11-01,0.0,Drug specific offences,Offences
Central,Whanganui,2010-12-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-01-01,1.0,Drug specific offences,Offences
Central,Whanganui,2011-02-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-06-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-07-01,3.0,Drug specific offences,Offences
Central,Whanganui,2011-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-10-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-11-01,0.0,Drug specific offences,Offences
Central,Whanganui,2011-12-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-02-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-03-01,1.0,Drug specific offences,Offences
Central,Whanganui,2012-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-06-01,1.0,Drug specific offences,Offences
Central,Whanganui,2012-07-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-10-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-11-01,0.0,Drug specific offences,Offences
Central,Whanganui,2012-12-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-02-01,1.0,Drug specific offences,Offences
Central,Whanganui,2013-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-06-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-07-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-08-01,1.0,Drug specific offences,Offences
Central,Whanganui,2013-09-01,1.0,Drug specific offences,Offences
Central,Whanganui,2013-10-01,0.0,Drug specific offences,Offences
Central,Whanganui,2013-11-01,2.0,Drug specific offences,Offences
Central,Whanganui,2013-12-01,1.0,Drug specific offences,Offences
Central,Whanganui,2014-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-02-01,1.0,Drug specific offences,Offences
Central,Whanganui,2014-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-04-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-05-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-06-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-07-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-10-01,1.0,Drug specific offences,Offences
Central,Whanganui,2014-11-01,0.0,Drug specific offences,Offences
Central,Whanganui,2014-12-01,0.0,Drug specific offences,Offences
Central,Whanganui,2015-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2015-02-01,0.0,Drug specific offences,Offences
Central,Whanganui,2015-03-01,1.0,Drug specific offences,Offences
Central,Whanganui,2015-04-01,1.0,Drug specific offences,Offences
Central,Whanganui,2015-05-01,1.0,Drug specific offences,Offences
Central,Whanganui,2015-06-01,2.0,Drug specific offences,Offences
Central,Whanganui,2015-07-01,4.0,Drug specific offences,Offences
Central,Whanganui,2015-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2015-09-01,2.0,Drug specific offences,Offences
Central,Whanganui,2015-10-01,2.0,Drug specific offences,Offences
Central,Whanganui,2015-11-01,2.0,Drug specific offences,Offences
Central,Whanganui,2015-12-01,1.0,Drug specific offences,Offences
Central,Whanganui,2016-01-01,0.0,Drug specific offences,Offences
Central,Whanganui,2016-02-01,0.0,Drug specific offences,Offences
Central,Whanganui,2016-03-01,0.0,Drug specific offences,Offences
Central,Whanganui,2016-04-01,1.0,Drug specific offences,Offences
Central,Whanganui,2016-05-01,2.0,Drug specific offences,Offences
Central,Whanganui,2016-06-01,1.0,Drug specific offences,Offences
Central,Whanganui,2016-07-01,1.0,Drug specific offences,Offences
Central,Whanganui,2016-08-01,0.0,Drug specific offences,Offences
Central,Whanganui,2016-09-01,0.0,Drug specific offences,Offences
Central,Whanganui,2009-01-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-02-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-03-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-04-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-05-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-06-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-07-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-08-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-09-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-10-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-11-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2009-12-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-01-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-02-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-03-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-04-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-05-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-06-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-07-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-08-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-09-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-10-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-11-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2010-12-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-01-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-02-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-03-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-04-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-05-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-06-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-07-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2011-08-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2011-09-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2011-10-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2011-11-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2011-12-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2012-01-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2012-02-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2012-03-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2012-04-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2012-05-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2012-06-01,1e3,Alcohol specific offences,Fines
Central,Whanganui,2012-07-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2012-08-01,800.0,Alcohol specific offences,Fines
Central,Whanganui,2012-09-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2012-10-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2012-11-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2012-12-01,800.0,Alcohol specific offences,Fines
Central,Whanganui,2013-01-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2013-02-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2013-03-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2013-04-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2013-05-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2013-06-01,1400.0,Alcohol specific offences,Fines
Central,Whanganui,2013-07-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2013-08-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2013-09-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2013-10-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2013-11-01,800.0,Alcohol specific offences,Fines
Central,Whanganui,2013-12-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2014-01-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2014-02-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2014-03-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2014-04-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2014-05-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2014-06-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2014-07-01,400.0,Alcohol specific offences,Fines
Central,Whanganui,2014-08-01,200.0,Alcohol specific offences,Fines
Central,Whanganui,2014-09-01,0.0,Alcohol specific offences,Fines
Central,Whanganui,2014-10-01,600.0,Alcohol specific offences,Fines
Central,Whanganui,2014-11-01,800.0,Alcohol specific offences,Fines
Central,Whanganui,2014-12-01,2600.0,Alcohol specific offences,Fines
Central,Whanganui,2015-01-01,3e3,Alcohol specific offences,Fines
Central,Whanganui,2015-02-01,2400.0,Alcohol specific offences,Fines
Central,Whanganui,2015-03-01,2200.0,Alcohol specific offences,Fines
Central,Whanganui,2015-04-01,3800.0,Alcohol specific offences,Fines
Central,Whanganui,2015-05-01,3200.0,Alcohol specific offences,Fines
Central,Whanganui,2015-06-01,5400.0,Alcohol specific offences,Fines
Central,Whanganui,2015-07-01,3600.0,Alcohol specific offences,Fines
Central,Whanganui,2015-08-01,2800.0,Alcohol specific offences,Fines
Central,Whanganui,2015-09-01,2400.0,Alcohol specific offences,Fines
Central,Whanganui,2015-10-01,4400.0,Alcohol specific offences,Fines
Central,Whanganui,2015-11-01,2800.0,Alcohol specific offences,Fines
Central,Whanganui,2015-12-01,4800.0,Alcohol specific offences,Fines
Central,Whanganui,2016-01-01,3e3,Alcohol specific offences,Fines
Central,Whanganui,2016-02-01,2600.0,Alcohol specific offences,Fines
Central,Whanganui,2016-03-01,3600.0,Alcohol specific offences,Fines
Central,Whanganui,2016-04-01,4800.0,Alcohol specific offences,Fines
Central,Whanganui,2016-05-01,5200.0,Alcohol specific offences,Fines
Central,Whanganui,2016-06-01,6300.0,Alcohol specific offences,Fines
Central,Whanganui,2016-07-01,3600.0,Alcohol specific offences,Fines
Central,Whanganui,2016-08-01,1800.0,Alcohol specific offences,Fines
Central,Whanganui,2016-09-01,3200.0,Alcohol specific offences,Fines
Central,Whanganui,2009-01-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-02-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-03-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-04-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-05-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-06-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-07-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-08-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-09-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-10-01,0.0,Mobile phone offences,Offences
Central,Whanganui,2009-11-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2009-12-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2010-01-01,2.0,Mobile phone offences,Offences
Central,Whanganui,2010-02-01,5.0,Mobile phone offences,Offences
Central,Whanganui,2010-03-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2010-04-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2010-05-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2010-06-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2010-07-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2010-08-01,13.0,Mobile phone offences,Offences
Central,Whanganui,2010-09-01,5.0,Mobile phone offences,Offences
Central,Whanganui,2010-10-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2010-11-01,5.0,Mobile phone offences,Offences
Central,Whanganui,2010-12-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2011-01-01,1.0,Mobile phone offences,Offences
Central,Whanganui,2011-02-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2011-03-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2011-04-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2011-05-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2011-06-01,1.0,Mobile phone offences,Offences
Central,Whanganui,2011-07-01,5.0,Mobile phone offences,Offences
Central,Whanganui,2011-08-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2011-09-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2011-10-01,11.0,Mobile phone offences,Offences
Central,Whanganui,2011-11-01,19.0,Mobile phone offences,Offences
Central,Whanganui,2011-12-01,1.0,Mobile phone offences,Offences
Central,Whanganui,2012-01-01,8.0,Mobile phone offences,Offences
Central,Whanganui,2012-02-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2012-03-01,9.0,Mobile phone offences,Offences
Central,Whanganui,2012-04-01,5.0,Mobile phone offences,Offences
Central,Whanganui,2012-05-01,2.0,Mobile phone offences,Offences
Central,Whanganui,2012-06-01,8.0,Mobile phone offences,Offences
Central,Whanganui,2012-07-01,7.0,Mobile phone offences,Offences
Central,Whanganui,2012-08-01,7.0,Mobile phone offences,Offences
Central,Whanganui,2012-09-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2012-10-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2012-11-01,13.0,Mobile phone offences,Offences
Central,Whanganui,2012-12-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2013-01-01,7.0,Mobile phone offences,Offences
Central,Whanganui,2013-02-01,9.0,Mobile phone offences,Offences
Central,Whanganui,2013-03-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2013-04-01,3.0,Mobile phone offences,Offences
Central,Whanganui,2013-05-01,4.0,Mobile phone offences,Offences
Central,Whanganui,2013-06-01,17.0,Mobile phone offences,Offences
Central,Whanganui,2013-07-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2013-08-01,14.0,Mobile phone offences,Offences
Central,Whanganui,2013-09-01,6.0,Mobile phone offences,Offences
Central,Whanganui,2013-10-01,8.0,Mobile phone offences,Offences
Central,Whanganui,2013-11-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2013-12-01,9.0,Mobile phone offences,Offences
Central,Whanganui,2014-01-01,8.0,Mobile phone offences,Offences
Central,Whanganui,2014-02-01,11.0,Mobile phone offences,Offences
Central,Whanganui,2014-03-01,15.0,Mobile phone offences,Offences
Central,Whanganui,2014-04-01,17.0,Mobile phone offences,Offences
Central,Whanganui,2014-05-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2014-06-01,15.0,Mobile phone offences,Offences
Central,Whanganui,2014-07-01,19.0,Mobile phone offences,Offences
Central,Whanganui,2014-08-01,13.0,Mobile phone offences,Offences
Central,Whanganui,2014-09-01,21.0,Mobile phone offences,Offences
Central,Whanganui,2014-10-01,19.0,Mobile phone offences,Offences
Central,Whanganui,2014-11-01,13.0,Mobile phone offences,Offences
Central,Whanganui,2014-12-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2015-01-01,22.0,Mobile phone offences,Offences
Central,Whanganui,2015-02-01,17.0,Mobile phone offences,Offences
Central,Whanganui,2015-03-01,17.0,Mobile phone offences,Offences
Central,Whanganui,2015-04-01,43.0,Mobile phone offences,Offences
Central,Whanganui,2015-05-01,10.0,Mobile phone offences,Offences
Central,Whanganui,2015-06-01,12.0,Mobile phone offences,Offences
Central,Whanganui,2015-07-01,14.0,Mobile phone offences,Offences
Central,Whanganui,2015-08-01,14.0,Mobile phone offences,Offences
Central,Whanganui,2015-09-01,39.0,Mobile phone offences,Offences
Central,Whanganui,2015-10-01,26.0,Mobile phone offences,Offences
Central,Whanganui,2015-11-01,26.0,Mobile phone offences,Offences
Central,Whanganui,2015-12-01,19.0,Mobile phone offences,Offences
Central,Whanganui,2016-01-01,11.0,Mobile phone offences,Offences
Central,Whanganui,2016-02-01,18.0,Mobile phone offences,Offences
Central,Whanganui,2016-03-01,16.0,Mobile phone offences,Offences
Central,Whanganui,2016-04-01,19.0,Mobile phone offences,Offences
Central,Whanganui,2016-05-01,18.0,Mobile phone offences,Offences
Central,Whanganui,2016-06-01,16.0,Mobile phone offences,Offences
Central,Whanganui,2016-07-01,32.0,Mobile phone offences,Offences
Central,Whanganui,2016-08-01,22.0,Mobile phone offences,Offences
Central,Whanganui,2016-09-01,18.0,Mobile phone offences,Offences
Central,Whanganui,2009-01-01,0.0,Mobile phone offences,Fines
Central,Whanganui,2009-02-01,0.0,Mobile phone offences,Fines
Central,Whanganui,2009-03-01,0.0,Mobile phone offences,Fines
Central,Whanganui,2009-04-01,0.0,Mobile phone offences,Fines
Central,Whanganui,2009-05-01,0.0,Mobile phone offences,Fines
